dir,object,section,size_hex,size_dec
ex5,interrupt.o,.comment,0x00000034,52
ex5,interrupt.o,.debug_frame,0x0000009c,156
ex5,interrupt.o,.ARM.attributes,0x00000033,51
ex5,exception.o,.text,0x00000094,148
ex5,exception.o,.data,0x00000000,0
ex5,exception.o,.bss,0x00000000,0
ex5,exception.o,.debug_info,0x00000c54,3156
ex5,exception.o,.debug_abbrev,0x000002e3,739
ex5,exception.o,.debug_loc,0x0000021c,540
ex5,exception.o,.debug_aranges,0x00000020,32
ex5,exception.o,.debug_ranges,0x00000058,88
ex5,exception.o,.debug_line,0x00000266,614
ex5,exception.o,.debug_str,0x000007da,2010
ex5,exception.o,.comment,0x00000034,52
ex5,exception.o,.debug_frame,0x00000020,32
ex5,exception.o,.ARM.attributes,0x00000033,51
